Classical Model;Bus 7;Bus 5;Bus 7;Bus 5
"Zeitpunkt in s";"U, rel.Winkel in deg";"U, rel.Winkel in deg";"u1, Betrag in p.u.";"u1, Betrag in p.u."
-0,100000;3,718484;-3,988535;1,025770;0,995639
-0,099000;3,718483;-3,988536;1,025770;0,995639
-0,098000;3,718483;-3,988536;1,025770;0,995639
-0,097000;3,718483;-3,988536;1,025770;0,995639
-0,096000;3,718483;-3,988536;1,025770;0,995639
-0,095000;3,718483;-3,988536;1,025770;0,995639
-0,094000;3,718483;-3,988536;1,025770;0,995639
-0,093000;3,718483;-3,988536;1,025770;0,995639
-0,092000;3,718483;-3,988536;1,025770;0,995639
-0,091000;3,718483;-3,988536;1,025770;0,995639
-0,090000;3,718483;-3,988536;1,025770;0,995639
-0,089000;3,718483;-3,988536;1,025770;0,995639
-0,088000;3,718483;-3,988536;1,025770;0,995639
-0,087000;3,718483;-3,988536;1,025770;0,995639
-0,086000;3,718483;-3,988536;1,025770;0,995639
-0,085000;3,718483;-3,988536;1,025770;0,995639
-0,084000;3,718483;-3,988536;1,025770;0,995639
-0,083000;3,718483;-3,988536;1,025770;0,995639
-0,082000;3,718483;-3,988536;1,025770;0,995639
-0,081000;3,718483;-3,988536;1,025770;0,995639
-0,080000;3,718483;-3,988536;1,025770;0,995639
-0,079000;3,718483;-3,988536;1,025770;0,995639
-0,078000;3,718483;-3,988536;1,025770;0,995639
-0,077000;3,718483;-3,988536;1,025770;0,995639
-0,076000;3,718483;-3,988536;1,025770;0,995639
-0,075000;3,718483;-3,988536;1,025770;0,995639
-0,074000;3,718483;-3,988536;1,025770;0,995639
-0,073000;3,718483;-3,988536;1,025770;0,995639
-0,072000;3,718483;-3,988536;1,025770;0,995639
-0,071000;3,718483;-3,988536;1,025770;0,995639
-0,070000;3,718483;-3,988536;1,025770;0,995639
-0,069000;3,718483;-3,988536;1,025770;0,995639
-0,068000;3,718483;-3,988536;1,025770;0,995639
-0,067000;3,718483;-3,988536;1,025770;0,995639
-0,066000;3,718483;-3,988536;1,025770;0,995639
-0,065000;3,718483;-3,988536;1,025770;0,995639
-0,064000;3,718483;-3,988536;1,025770;0,995639
-0,063000;3,718483;-3,988536;1,025770;0,995639
-0,062000;3,718483;-3,988536;1,025770;0,995639
-0,061000;3,718483;-3,988536;1,025770;0,995639
