Alle Berechnungsarten;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;load1;load1;load1;load1
Zeitpunkt in s;Nennfrequenz in Hz;Tag[Pgn] in s;Nenn-Leistungsfaktor;dkd;dpe;Turbinenleistung in p.u.;dpu;Zusätzliches Drehmoment in p.u.;Drehmoment Eingang in p.u.;Td0' in s;Td' in s;Tq0' in s;Tq' in s;Td0'' in s;Td'' in s;Tq0'' in s;Tq'' in s;U, Winkel in deg;u, Betrag in p.u.;Elektrische Frequenz in Hz;Gesättigte Hauptfeldreaktanz, d-Achse in p.u.;Gesättigte Hauptfeldreaktanz, q-Achse in p.u.;xl in p.u.;rstr in p.u.;xrld in p.u.;xrlq in p.u.;Subtransiente Reaktanz, d-Achse in p.u.;Subtransiente Reaktanz, q-Achse in p.u.;xd' in p.u.;xq' in p.u.;Synchrone Reaktanz, d-Achse in p.u.;Synchrone Reaktanz, q-Achse in p.u.;Reaktanz der Erregerwicklung in p.u.;Reaktanz der 1d-Dämpferwicklung in p.u.;Reaktanz der 1q-Dämpferwicklung in p.u.;Reaktanz der 2q-Dämpferwicklung in p.u.;Widerstand der Erregerwicklung in p.u.;Widerstand der 1d-Dämpferwicklung in p.u.;Widerstand der 1q-Dämpferwicklung in p.u.;Widerstand der 2q-Dämpferwicklung in p.u.;U, Winkel in deg;u, Betrag in p.u.;Elektrische Frequenz in Hz;Mechanisches Moment in p.u.;Elektrisches Moment in p.u.;Ständerstrom, d-Achse in p.u.;Ständerstrom, q-Achse in p.u.;Strom in Erregerwicklung in p.u.;Strom in 1d-Dämpferwicklung in p.u.;Strom in 1q-Dämpferwicklung in p.u.;Strom in 2q-Dämpferwicklung in p.u.;Ständerfluss, d-Achse;Ständerfluss, q-Achse in p.u.;Subtransienter Fluss, d-Achse in p.u.;Subtransienter Fluss, q-Achse in p.u.;Fluss in Erregerwicklung in p.u.;Fluss in 1d-Dämpferwicklung in p.u.;Fluss in 1q-Dämpferwicklung in p.u.;Fluss in 2q-Dämpferwicklung in p.u.;Spannung, d-Achse in p.u.;Spannung, q-Achse in p.u.;Subtransiente Spannung, d-Achse in p.u.;Subtransiente Spannung, q-Achse in p.u.;Erregerspannung in p.u.;Konvertierungsfaktor (=xadu/rfd);Impedanz, phi in deg;Impedanz, mag in p.u.;Gesamte Wirkleistung/Anschluss i in MW;Gesamte Blindleistung/Anschluss i in Mvar;Gesamte Wirkleistung/Anschluss j in MW;Gesamte Blindleistung/Anschluss j in Mvar;u1, Betrag/Anschluss i in p.u.;u1, Betrag/Anschluss j in p.u.;Mitsystem-Strom, Betrag/Anschluss i in kA;Mitsystem-Strom, Betrag/Anschluss j in kA;u1, Betrag in p.u.;Mitsystem-Strom, Betrag in kA;Gesamte Wirkleistung in MW;Gesamte Blindleistung in Mvar
0,01;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000059;0,99999983;60,00000002;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000059;0,99999983;60,00000002;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441393;0,00000024;-0,00000003;0;0,99999971;-0,00048928;0,99998044;-0,00028527;1,32860427;0,99998369;-0,00031962;0;0,00048928;0,99999971;0,00028527;0,99998044;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995034;0;0,5049039;-0,04794268;0,99413553;0,99999983;0,01759692;0,01774652;0,99413553;0,01759692;0,49995033;0
0,02;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000061;0,99999983;60,00000002;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000061;0,99999983;60,00000002;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441395;0,00000021;-0,00000003;0;0,99999971;-0,00048928;0,99998044;-0,00028527;1,32860427;0,99998369;-0,00031962;0;0,00048928;0,99999971;0,00028527;0,99998044;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995034;0;0,5049039;-0,04794268;0,99413553;0,99999983;0,01759692;0,01774652;0,99413553;0,01759692;0,49995033;0
0,03;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000062;0,99999983;60,00000002;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000062;0,99999983;60,00000002;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441397;0,00000019;-0,00000002;0;0,99999971;-0,00048928;0,99998044;-0,00028527;1,32860427;0,99998369;-0,00031962;0;0,00048928;0,99999971;0,00028527;0,99998044;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995034;0;0,5049039;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995033;0
0,04;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000063;0,99999983;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000063;0,99999983;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441398;0,00000017;-0,00000002;0;0,99999971;-0,00048928;0,99998044;-0,00028527;1,32860427;0,99998369;-0,00031962;0;0,00048928;0,99999971;0,00028527;0,99998044;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
0,05;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000065;0,99999983;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000065;0,99999983;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441399;0,00000015;-0,00000002;0;0,99999971;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0;0,00048928;0,99999971;0,00028527;0,99998044;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
0,06;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000066;0,99999982;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000066;0,99999982;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441401;0,00000013;-0,00000002;0;0,9999997;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0;0,00048928;0,9999997;0,00028527;0,99998043;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794268;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
0,07;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000067;0,99999982;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000067;0,99999982;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441401;0,00000012;-0,00000002;0;0,9999997;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0;0,00048928;0,9999997;0,00028527;0,99998043;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
0,08;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000068;0,99999982;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000068;0,99999982;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441402;0,00000011;-0,00000002;0;0,9999997;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0;0,00048928;0,9999997;0,00028527;0,99998043;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
0,09;60;19,10303116;1;0;0;0,00204008;0;0;0;8,96000004;3,73128772;0,53500003;0,33461556;0,075;0,04984051;0,15000001;0,06254496;0,00000069;0,99999982;60,00000003;0,27819;0,1566675;0,08316;0;0;0;0,1;0,1;0,15048;0,15000001;0,36135;0,2398275;0,09142536;0,02229661;0,01886811;0;0,00011117;0,00317154;0,00310415;0;0,00000069;0,99999982;60,00000003;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441403;0,0000001;-0,00000002;0;0,9999997;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0;0,00048928;0,9999997;0,00028527;0,99998043;0,99992981;2,5022975;83,29016326;0,16629975;-0,49995033;0;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0
